trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.2, 'e': 0.29302422330102135}",20,0,-21.011613046333384,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
131,False,"{'a': 0.2, 'e': 0.29010858356365526}",20,14,9.199888215096527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.2892395619970803}",20,11,14.39629149452457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.2879409081307702}",35,25,15.911267385531524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.2865047968601901}",20,10,16.620110758481797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.28507584822445353}",20,10,16.423478304352237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2836540264997704}",25,2,15.752588023492226,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.2804106901233781}",30,9,34.06207187250481,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.2774817815563575}",20,4,16.140490675901408,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.27527078308975234}",20,8,-2.03730001727724,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.27362410337040804}",20,9,20.883824918092813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.27212330178948707}",20,0,-2.2013379954414525,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.2, 'e': 0.26941562969595634}",25,18,-11.86707460640869,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.2684743232392366}",25,12,-20.615253392251095,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.266734899389909}",20,0,4.54109004168668,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
145,False,"{'a': 0.2, 'e': 0.26408084279608046}",25,18,1.0447697783365402,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.2631581754560287}",20,0,-53.20076919965767,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.2605397078599756}",20,14,10.761793385596063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.2597592599935311}",20,2,-8.283254173341447,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.2574319154137531}",25,0,32.34985205530214,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.25423404480124123}",20,14,-32.58042913327296,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.2, 'e': 0.2534724855768434}",30,24,6.518846601794616,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.25271320760652677}",20,16,9.18306941388754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.2522082862809464}",30,17,-71.19073787007302,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.25057424879511875}",25,16,15.143219311775143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
